,City,Marka,Seri,Average Price
0,ADANA ,Volkswagen,Passat,99083
1,ADANA ,Volkswagen,Polo,97290
2,ADANA ,Volkswagen,Jetta,141333
3,ADANA ,Volkswagen,Golf,140450
4,ADANA ,Honda,Civic,138600
5,ADANA ,Honda,Jazz,100000
6,ADANA ,Ford,Focus,121833
7,ADANA ,Ford,Fusion,67900
8,ADANA ,Ford,Fiesta,98500
9,ADANA ,Ford,Taunus,19750
10,ADANA ,Renault,Clio,74787
11,ADANA ,Renault,R 12,25250
12,ADANA ,Renault,R 9,24625
13,ADANA ,Renault,Fluence,92625
14,ADANA ,Renault,Megane,133312
15,ADANA ,Renault,Latitude,130000
16,ADANA ,Renault,Laguna,78500
17,ADANA ,Tofaş,Doğan,30000
18,ADANA ,Tofaş,Şahin,30966
19,ADANA ,Chevrolet,Aveo,115000
20,ADANA ,Fiat,Linea,80833
21,ADANA ,Fiat,Egea,130500
22,ADANA ,Fiat,Brava,43750
23,ADANA ,Fiat,Palio,54250
24,ADANA ,Fiat,Punto,99250
25,ADANA ,Fiat,Uno,38000
26,ADANA ,Mercedes - Benz,E,331666
27,ADANA ,Mercedes - Benz,C,133500
28,ADANA ,BMW,3 Serisi,283000
29,ADANA ,BMW,1 Serisi,142000
30,ADANA ,Dacia,Sandero,105125
31,ADANA ,Toyota,Auris,121475
32,ADANA ,Toyota,Corolla,111875
33,ADANA ,Hyundai,Accent Blue,159250
34,ADANA ,Hyundai,i20,96125
35,ADANA ,Hyundai,i30,171500
36,ADANA ,Hyundai,Getz,71416
37,ADANA ,Hyundai,Accent Era,79500
38,ADANA ,Hyundai,Elantra,156000
39,ADANA ,Seat,Leon,157000
40,ADANA ,Opel,Astra,157950
41,ADANA ,Opel,Vectra,58000
42,ADANA ,Citroen,C5,145000
43,ADANA ,Kia,Magentis,65000
44,ADANA ,Rover,216,49000
45,ADANA ,Skoda,Fabia,106500
46,ADANA ,Peugeot,301,104000
47,ADANA ,Volvo,V60,180000
48,ADIYAMAN ,Volkswagen,Passat,198000
49,ADIYAMAN ,Volkswagen,Polo,130187
50,ADIYAMAN ,Volkswagen,Jetta,158041
51,ADIYAMAN ,Volkswagen,Golf,203000
52,ADIYAMAN ,Volkswagen,Bora,76000
53,ADIYAMAN ,Honda,Civic,172625
54,ADIYAMAN ,Ford,Focus,79083
55,ADIYAMAN ,Ford,Fiesta,131000
56,ADIYAMAN ,Renault,Clio,82000
57,ADIYAMAN ,Renault,R 12,34250
58,ADIYAMAN ,Renault,R 9,39000
59,ADIYAMAN ,Renault,Fluence,129500
60,ADIYAMAN ,Renault,Megane,159625
61,ADIYAMAN ,Renault,Symbol,76900
62,ADIYAMAN ,Renault,R 19,45000
63,ADIYAMAN ,Tofaş,Doğan,41125
64,ADIYAMAN ,Chevrolet,Aveo,100000
65,ADIYAMAN ,Fiat,Linea,93000
66,ADIYAMAN ,Fiat,Egea,138650
67,ADIYAMAN ,Fiat,Uno,28500
68,ADIYAMAN ,Mercedes - Benz,E,185000
69,ADIYAMAN ,Mercedes - Benz,190,59750
70,ADIYAMAN ,BMW,5 Serisi,60000
71,ADIYAMAN ,Toyota,Auris,185000
72,ADIYAMAN ,Toyota,Corolla,124166
73,ADIYAMAN ,Hyundai,Accent Blue,138000
74,ADIYAMAN ,Hyundai,i20,150500
75,ADIYAMAN ,Hyundai,i30,180750
76,ADIYAMAN ,Hyundai,Getz,84437
77,ADIYAMAN ,Hyundai,Accent Era,88750
78,ADIYAMAN ,Hyundai,Elantra,169000
79,ADIYAMAN ,Hyundai,i10,115000
80,ADIYAMAN ,Hyundai,Accent,56500
81,ADIYAMAN ,Seat,Leon,241500
82,ADIYAMAN ,Opel,Astra,110857
83,ADIYAMAN ,Opel,Vectra,48000
84,ADIYAMAN ,Kia,Cerato,168000
85,ADIYAMAN ,Skoda,Octavia,224500
86,ADIYAMAN ,Peugeot,307,83000
87,ADIYAMAN ,Peugeot,106,40000
88,ADIYAMAN ,Peugeot,206,58000
89,ADIYAMAN ,Volvo,S60,96000
90,ADIYAMAN ,Audi,A3,168000
91,AFYONKARAHİSAR ,Volkswagen,Passat,158916
92,AFYONKARAHİSAR ,Volkswagen,Polo,58100
93,AFYONKARAHİSAR ,Volkswagen,Jetta,171500
94,AFYONKARAHİSAR ,Volkswagen,Golf,173666
95,AFYONKARAHİSAR ,Honda,Civic,162666
96,AFYONKARAHİSAR ,Ford,Focus,178125
97,AFYONKARAHİSAR ,Ford,Fusion,95000
98,AFYONKARAHİSAR ,Ford,Fiesta,72400
99,AFYONKARAHİSAR ,Ford,C-Max,81500
100,AFYONKARAHİSAR ,Ford,Escort,32000
101,AFYONKARAHİSAR ,Ford,Mondeo,49900
102,AFYONKARAHİSAR ,Renault,Clio,138300
103,AFYONKARAHİSAR ,Renault,R 12,29750
104,AFYONKARAHİSAR ,Renault,R 9,22000
105,AFYONKARAHİSAR ,Renault,Fluence,119900
106,AFYONKARAHİSAR ,Renault,Megane,144500
107,AFYONKARAHİSAR ,Renault,Laguna,82000
108,AFYONKARAHİSAR ,Renault,Symbol,105000
109,AFYONKARAHİSAR ,Renault,R 19,22950
110,AFYONKARAHİSAR ,Tofaş,Doğan,25500
111,AFYONKARAHİSAR ,Tofaş,Şahin,28500
112,AFYONKARAHİSAR ,Chevrolet,Cruze,105000
113,AFYONKARAHİSAR ,Fiat,Linea,91675
114,AFYONKARAHİSAR ,Fiat,Brava,38750
115,AFYONKARAHİSAR ,Fiat,Palio,40350
116,AFYONKARAHİSAR ,Fiat,Punto,92000
117,AFYONKARAHİSAR ,Fiat,Stilo,55750
118,AFYONKARAHİSAR ,Fiat,Tempra,31000
119,AFYONKARAHİSAR ,Fiat,Tipo,32500
120,AFYONKARAHİSAR ,Fiat,Siena,47000
121,AFYONKARAHİSAR ,Mercedes - Benz,C,165000
122,AFYONKARAHİSAR ,BMW,3 Serisi,189875
123,AFYONKARAHİSAR ,Toyota,Corolla,55000
124,AFYONKARAHİSAR ,Toyota,Yaris,94583
125,AFYONKARAHİSAR ,Toyota,Avensis,99500
126,AFYONKARAHİSAR ,Hyundai,Getz,71000
127,AFYONKARAHİSAR ,Hyundai,Elantra,163000
128,AFYONKARAHİSAR ,Hyundai,Accent,47000
129,AFYONKARAHİSAR ,Hyundai,i20 Troy,117000
130,AFYONKARAHİSAR ,Opel,Astra,97333
131,AFYONKARAHİSAR ,Opel,Vectra,74500
132,AFYONKARAHİSAR ,Opel,Corsa,67500
133,AFYONKARAHİSAR ,Citroen,C3,63500
134,AFYONKARAHİSAR ,Citroen,C-Elysee,122500
135,AFYONKARAHİSAR ,Peugeot,301,111000
136,AFYONKARAHİSAR ,Peugeot,307,85900
137,AFYONKARAHİSAR ,Peugeot,308,89499
138,AFYONKARAHİSAR ,Peugeot,207,70000
139,AFYONKARAHİSAR ,Volvo,S60,214500
140,AFYONKARAHİSAR ,Volvo,S40,125000
141,AFYONKARAHİSAR ,Audi,A3,132000
142,AFYONKARAHİSAR ,Audi,A5,335000
143,AFYONKARAHİSAR ,Audi,A4,73000
144,AFYONKARAHİSAR ,Mazda,626,39250
145,AFYONKARAHİSAR ,Mazda,323,48000
146,AFYONKARAHİSAR ,Lada,Samara,28500
147,AFYONKARAHİSAR ,Nissan,Note,108000
148,AFYONKARAHİSAR ,Aston Martin,Vantage,2100
149,AĞRI ,Volkswagen,Passat,268500
150,AĞRI ,Volkswagen,Polo,146400
